"id";"product_id";"data";"created_at";"updated_at"
"2";"504";"{""old"":{""id"":""504"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""504"",""current_number"":""604"",""name"":""La Rosa de Sandiego Maduro Presidente Prensado Box Pressed"",""artikul_number"":""604"",""price_per_piece"":""840"",""pieces"":""10"",""package_price"":""84.00"",""status"":""active"",""state"":""new"",""date_changed"":""26.06.2020""}}";"2020-11-26 09:58:58";"2020-11-26 09:58:58"
"3";"505";"{""old"":{""id"":""505"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""505"",""current_number"":""605"",""name"":""La Rosa de Sandiego Picoso Limited Box Pressed"",""artikul_number"":""605"",""price_per_piece"":""740"",""pieces"":""21"",""package_price"":""155.40"",""status"":""active"",""state"":""new"",""date_changed"":""26.06.2020""}}";"2020-11-26 10:00:19";"2020-11-26 10:00:19"
"4";"505";"{""old"":{""id"":""505"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""505"",""current_number"":""605"",""name"":""La Rosa de Sandiego Picoso Limited Box Pressed"",""artikul_number"":""605"",""price_per_piece"":""740"",""pieces"":""21"",""package_price"":""155.40"",""status"":""active"",""state"":""new"",""date_changed"":""26.06.2020""}}";"2020-11-26 10:01:40";"2020-11-26 10:01:40"
"5";"170";"{""old"":{""id"":""170"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""170"",""current_number"":""182"",""name"":""La Regenta Classic La Regenta No.1"",""artikul_number"":""182"",""price_per_piece"":""580"",""pieces"":""25"",""package_price"":""145.00"",""status"":""active"",""state"":""new"",""date_changed"":""19.06.2020""}}";"2020-11-26 10:03:24";"2020-11-26 10:03:24"
"6";"171";"{""old"":{""id"":""171"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""171"",""current_number"":""183"",""name"":""La Regenta Classic La Regenta No.1"",""artikul_number"":""183"",""price_per_piece"":""580"",""pieces"":""10"",""package_price"":""58.00"",""status"":""active"",""state"":""new"",""date_changed"":""19.06.2020""}}";"2020-11-26 10:04:38";"2020-11-26 10:04:38"
"10";"172";"{""old"":{""id"":""172"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""172"",""current_number"":""184"",""name"":""La Regenta Classic La Regenta No.3"",""artikul_number"":""184"",""price_per_piece"":""495"",""pieces"":""25"",""package_price"":""123.75"",""status"":""active"",""state"":""new"",""date_changed"":""19.06.2020""}}";"2020-11-26 10:30:56";"2020-11-26 10:30:56"
"13";"184";"{""old"":{""id"":""184"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""184"",""current_number"":""196"",""name"":""La Regenta Especial Edicion Especiales"",""artikul_number"":""196"",""price_per_piece"":""520"",""pieces"":""25"",""package_price"":""130.00"",""status"":""active"",""state"":""new"",""date_changed"":""19.06.2020""}}";"2020-11-26 10:40:49";"2020-11-26 10:40:49"
"14";"185";"{""old"":{""id"":""185"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""185"",""current_number"":""197"",""name"":""La Regenta Especial Edicion Robusto"",""artikul_number"":""197"",""price_per_piece"":""680"",""pieces"":""5"",""package_price"":""34.00"",""status"":""active"",""state"":""new"",""date_changed"":""19.06.2020""}}";"2020-11-26 10:41:33";"2020-11-26 10:41:33"
"15";"186";"{""old"":{""id"":""186"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""186"",""current_number"":""198"",""name"":""La Regenta Reserva Limitada"",""artikul_number"":""198"",""price_per_piece"":""920"",""pieces"":""25"",""package_price"":""230.00"",""status"":""active"",""state"":""new"",""date_changed"":""19.06.2020""}}";"2020-11-26 10:41:50";"2020-11-26 10:41:50"
"16";"464";"{""old"":{""id"":""464"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""464"",""current_number"":""564"",""name"":""La Rosa de Sandiego Maduro Robusto"",""artikul_number"":""564"",""price_per_piece"":""480"",""pieces"":""20"",""package_price"":""96.00"",""status"":""active"",""state"":""new"",""date_changed"":""17.06.2020""}}";"2020-11-26 10:44:05";"2020-11-26 10:44:05"
